id,name,address,phone,type,department,municipality,nit_municipality,notifier_email,created_at,updated_at,deleted_at,code_dane_municipality,traffic_agency_code,mandate_document_applies,virtual_process_applies,id_parinttrasec_transfer,is_active_flit,code_divipo,request_issue_date_flag,traffic_secretary_requires_preassignment_plate,id_parinttrasec_registration,id_parinttrasec_otherservice,department_dane_code,requires_peace_and_safe,allows_runt_approval_queries,contact_phone,contact_name
12,DIR TTOyTTE DPTAL CAQUETA/SAN VIC CAGUAN,CALLE 2 # 4-46-48,033-3102195457,Organismos de Tránsito,CAQUETÁ,SAN VICENTE DEL CAGUAN - CAQUETA,800095785, contactenos@sanvicentedelcaguan-caqueta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,18753,18753000,False,False,1,False,NULL,False,False,1,1,,False,False,,
13,DIR TTOyTTE FLORIDABLANCA,CALLE 9 NO. 8-14,6497871,Organismos de Tránsito,SANTANDER,FLORIDABLANCA,890201235, notificaciones@floridablanca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,68276,68276000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
14,DPTO ADTVO TTEyTTO VILLA DEL ROSARIO,CARRERA 7 NO. 10-40. AUTOPISTA INTERNACIONAL BARRIO LOMITAS,5708998,Organismos de Tránsito,NORTE DE SANTANDER,VILLA DEL ROSARIO,9006765702,notificacionesjudiciales@villarosario.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,54874,54874000,False,False,1,False,NULL,False,False,1,1,,False,False,,
15,DPTO ADTVO TTOyTTE DIST CARTAGENA,AV. SANTANDER EDIFICIO MAR DEL NORTE NO. 46A-96 LOCALES DEL 1-5,6564412,Organismos de Tránsito,BOLIVAR,CARTAGENA,890480184,notificacionesjudicialesadministrativo@cartagena.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,13001,13001000,False,False,1,False,NULL,False,False,1,1,13,False,False,,
16,DPTO ADTVO TTOyTTE GUAJIRA/HATONUEVO,EDIFICIO DE LA MARINA CALLE 1 NO 6-05-RIOACHA,5-7272626,Organismos de Tránsito,LA GUAJIRA,HATONUEVO - LA GUAJIRA,800255101,contactenos@hatonuevo-laguajira.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,44378,44378000,False,False,1,False,NULL,False,False,1,1,44,False,False,,
17,DPTO ADTVO TTOyTTE MCPAL CUCUTA,AVENIDA GRAN COLOMBIA # 6E-91 BARRIO LA RIVIERA,5767126,Organismos de Tránsito,NORTE DE SANTANDER,CUCUTA,900582115,notificaciones_judiciales@cucuta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,54001,54001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
18,DPTO ADTVO TTOYTTE MCPAL PASTO,CALLE 18 NO. 19-34. ANTIGUA CAJA AGRARIA,7333309,Organismos de Tránsito,NARINO,PASTO,8912800003,contactenos@pasto.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,52001,52001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
19,DPTO ADTVO TTOyTTE TOLIMA/ ALVARADO,CALLE 3RA ESQUINA. ALCALDIA MUNICIPAL,2820189,Organismos de Tránsito,TOLIMA,ALVARADO - TOLIMA,890700961,contactenos@pasto.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73026,73026000,False,False,1,False,NULL,False,False,1,1,,False,False,,
20,DPTO ADTVO TTOyTTE TOLIMA/GUAMO,CARRERA 7ª NO. 10 - 11. PARQUE DE LA CULTURA,2270280,Organismos de Tránsito,TOLIMA,GUAMO - TOLIMA,890702015, gobierno@elguamo-tolima.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73319,73319000,False,False,1,False,NULL,False,False,1,1,,False,False,,
21,DPTO ADTVO TTOyTTE TOLIMA/GUAYABAL,ALCALDIA MUNICIPAL PISO 2,2530041,Organismos de Tránsito,TOLIMA,ARMERO - TOLIMA,800113672,contactenos@armeroguayabal-tolima.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73055,73055000,False,False,1,False,NULL,False,False,1,1,,False,False,,
22,DPTO ADTVO TTOyTTE TOLIMA/ORTEGA,MZ M CASA 7 PISO 1 B/TECHITOS,3133410651,Organismos de Tránsito,TOLIMA,ORTEGA - TOLIMA,800113672,notificacionesjudiciales@ortega-tolima.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73504,73504000,False,False,1,False,NULL,False,False,1,1,,False,False,,
23,DPTO ADTVO TTOyTTE TOLIMA/PURIFICACIÓN,CARRERA 6 NO 8 A - 110,2282810,Organismos de Tránsito,TOLIMA,PURIFICACION - TOLIMA,800113672, contactenos@purificacion-tolima.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73585,73585000,False,False,1,False,NULL,False,False,1,1,,False,False,,
24,DPTO TTOyTTE MCPAL SAN JUAN DE NEPOMUCENO,SAN JUAN NEPO,6690007,Organismos de Tránsito,BOLIVAR,SAN JUAN NEPOMUCENO,899999061,,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,13657,13657000,False,False,1,False,NULL,False,False,1,1,13,False,False,,
25,F. DPTAL TTO VICHADA/PUERTO CARREÑO,CALLE 18 NO. 7-48,5654132,Organismos de Tránsito,VICHADA,PUERTO CARREÑO - VICHADA,892099305,contactenos@puertocarreno-vichada.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,99001,99001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
26,F. MCPAL TTOyTTE TERRESTRE MAGANGUE,CALLE 16 BARRIO SAN MARTIN ANTIGUO IDEMA,314574512,Organismos de Tránsito,BOLIVAR,MAGANGUE,899999069, notificacionjudicial@magangue-bolivar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,13430,13430000,False,False,1,False,NULL,False,False,1,1,13,False,False,,
27,INPS TTOYTTE LA DORADA,CALLE 16 CON CARRERA 5 CENTRO COMERCIAL DORADO PLAZA SEGUNDO PISO LOCAL 201-2,8577255,Organismos de Tránsito,CALDAS,LA DORADA,890801052,sistemas1@inteligente.com,2023-09-25 20:21:59.382,2025-08-13 21:44:22.25,NULL,17380,17380000,True,True,1,True,NULL,True,True,1,1,17,False,False,3043753514,alvaro mejia
28,INS DE TTOyTTE QUIMBAYA,CARRERA 6 ENTRE CALLE 12 ESQUINA PALACIO MUNICIPAL,7520605,Organismos de Tránsito,QUINDIO,QUIMBAYA,890000613,notificacionjudicial@quimbaya-quindio.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,63594,63594000,False,False,1,False,NULL,False,False,1,1,63,False,False,,
29,INS MCPAL DE TyTO DE COROZAL,CALLE 29 A NO-37-29. BARRIO SAN JUAN,2840039,Organismos de Tránsito,SUCRE,COROZAL,823000240,juridica@corozal-sucre.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,70215,70215000,False,False,1,False,NULL,False,False,1,1,,False,False,,
30,INS MCPAL TTOyTTE SAN VICENTE CHUCURI,CALLE 15 NO 21 - 34. CENTRO DE ABASTOS,6254306,Organismos de Tránsito,SANTANDER,SAN VICENTE DE CHUCURI,800099829,notificacionjudicial@sanvicentedechucuri-,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,68689,68689000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
31,INSP DE TT0 y TTE CONVENCION,ALCALDIA MUNICIPAL,5630018,Organismos de Tránsito,NORTE DE SANTANDER,CONVENCION,800103927,contactenos@convencion-nortedesantander.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,54206,54206000,False,False,1,False,NULL,False,False,1,1,,False,False,,
32,INSP MCPAL TTO CIUDAD BOLIVAR,CRA 49 NO 51-14,4-8411183 EXT 31 o 44,Organismos de Tránsito,ANTIOQUIA,CIUDAD BOLIVAR,8909002860,notificacionesjudiciales@ciudadbolivar-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5101,5101000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
33,INSP MCPAL TTO TURBO,CALLE 102 NO. 15-37 BARRIO BALTAZAR,8275505,Organismos de Tránsito,ANTIOQUIA,TURBO,890981138,notificacionesjuridica@turbo-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5837,5837000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
34,INSP MCPAL TTOyREG VIAL LETICIA,CALLE 9 NO 10-68,5924369,Organismos de Tránsito,AMAZONAS,LETICIA,899999302,contactenos@leticia-amazonas.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,91001,91001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
35,INSP MCPAL TTOyTTE BARBOSA/STDER,CARRERA 9 CON CALLE 6 ESQUINA,7482040,Organismos de Tránsito,SANTANDER,BARBOSA,890980445,notificacionjudicial@barbosa-santander.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,68077,68077000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
36,INSTITUTO DE MOVILIDAD DE EL CARMEN DE BOLIVAR,CARRETERA TRONCAL KM 1 VIA SINCELEJO ANTIGUA TABACALERA ESPINOSA,6860527,Organismos de Tránsito,BOLIVAR,EL CARMEN DE BOLIVAR,890480059,notificacionjudicial@elcarmen-bolivar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,13244,13244000,False,False,1,False,NULL,False,False,1,1,13,False,False,,
37,INSP MCPAL TTOyTTE CARMEN DE VIBORAL,CALLE 31 N° 30-06 PARQUE PRINCIPAL,5434377,Organismos de Tránsito,ANTIOQUIA,EL CARMEN DE VIBORAL,890982616,notificaciones.judiciales@alcaldiaelcarmen.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5148,5148000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
38,INSP MCPAL TTOyTTE SAN GIL,CALLE 12 NO. 9-51 FRENTE AL PARQUE PRINCIPAL,7243400,Organismos de Tránsito,SANTANDER,SAN GIL,800099824,notificacionesjudiciales@sangil.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,68679,68679000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
39,INSP TTEyTTO AGUADAS,CALLE 6 NO 5 - 23 PISO 1. PALACIO MUNICIPAL PLAZA PRINCIPAL,8514239,Organismos de Tránsito,CALDAS,AGUADAS,890801052,juridica@aguadas-caldas.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,17013,17013000,False,False,1,False,NULL,False,False,1,1,17,False,False,,
40,INSP TTEyTTO GUADALAJARA DE BUGA,TERMINAL DE TRANSPORTE-SEGUNDO PISO OFICINA 207 Y 209,2375568,Organismos de Tránsito,VALLE DEL CAUCA,GUADALAJARA DE BUGA,891380033,notificaciones@buga.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,76111,76111000,False,False,1,False,NULL,False,False,1,1,76,False,False,,
41,INSP TTO MCPAL LA CEJA,CARRERA 17 NO. 21 - 54 CENTRAL INTEGRADORA DE TRANSPORTES,5534428,Organismos de Tránsito,ANTIOQUIA,LA CEJA,890981207, notificacionesjudiciales@laceja-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5376,5376000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
42,INSP TTO MOMPOX,CARRERA 2 PALACIO DE SAN CARLOS,3123953406,Organismos de Tránsito,BOLIVAR,MOMPOS,860002503,buzonjudicial@santacruzdemompos-bolivar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,13468,13468000,False,False,1,False,NULL,False,False,1,1,13,False,False,,
43,STRIA TTOyTTE MCPAL PLATO - MAGDALENA,VIA 14 SALIDA AL DIFICIL - 2 PISO,4840317,Organismos de Tránsito,MAGDALENA,PLATO,891780051,contactenos@plato-magdalena.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,47555,47555000,False,False,1,False,NULL,False,False,1,1,,False,False,,
44,INSP TTO PUERTO BERRIO,CARRERA 5 NO 50 - 11 PALACIO MUNICIPAL PISO 2,8332120,Organismos de Tránsito,ANTIOQUIA,PUERTO BERRIO,890980049,notificacionesjudiciales@puertoberrio-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5579,5579000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
45,INSP TTOyTTE ANDES,CALLE 49 ARBOLEDA N° 49ª - 33,8416830,Organismos de Tránsito,ANTIOQUIA,ANDES,890980342,gobierno@andes-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5034,5034000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
46,INSP TTOyTTE BARRANCABERMEJA,CARRERA 2 NO.50-25 SECTOR COMERCIAL,6214599,Organismos de Tránsito,SANTANDER,BARRANCABERMEJA,829001846,defensajudicial@barrancabermeja.gov.co,2023-09-25 20:21:59.382,2023-09-25 20:21:59.382,NULL,68081,68081000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
47,INSP TTOyTTE CALARCA,AVENIDA CACIQUE CALLE 42 NO. 22-01,,Organismos de Tránsito,QUINDIO,CALARCA,890001639,notificacionjudicial@calarca-quindio.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,63130,63130000,False,False,1,False,NULL,False,False,1,1,63,False,False,,
48,INSP TTOyTTE LORICA,CARRERA 25. TERMINAL DE TRANSPORTE,7735426,Organismos de Tránsito,CORDOBA,LORICA,800193833,notificacionjudicial@santacruzdelorica-cordoba.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,23417,23417000,False,False,1,False,NULL,False,False,1,1,,False,False,,
49,INSP TTOyTTE MCPAL PUERTO BOYACA,CARRERA 2 NO. 9-41,7383490,Organismos de Tránsito,BOYACA,PUERTO BOYACA,891800466,notificacionjudicial@puertoboyaca-boyaca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,15572,15572000,False,False,1,False,NULL,False,False,1,1,,False,False,,
50,INSP TTOyTTE MCPAL SAHAGUN,CALLE 14 ENTRE CARRERA 10 Y 11,7588350,Organismos de Tránsito,CORDOBA,SAHAGUN,800096777,alcaldia@sahagun-cordoba.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,23660,23660000,False,False,1,False,NULL,False,False,1,1,,False,False,,
51,INSP TTOYTTE MCPAL SONSON,CARRERA 6 NO. 6 - 58. ALCALDIA MUNICIPAL,8694444,Organismos de Tránsito,ANTIOQUIA,SONSON,890980357,contactenos@sonson-antioquia.gov.co,2023-09-25 20:21:59.382,2023-09-25 20:21:59.382,NULL,5756,5756000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
52,INSP TTOyTTE ROLDANILLO,ALCALDIA MUNICIPAL CALLE 9 CON CARRERA 2 NORTE. PARQUE DIDACTICO,2490484,Organismos de Tránsito,VALLE DEL CAUCA,ROLDANILLO,891900289, notificacionjudicial@roldanillo-valle.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,76622,76622000,False,False,1,False,NULL,False,False,1,1,76,False,False,,
53,INSP TTOyTTE ZARZAL,CARRERA 9 NO. 10-36. PALACIO MUNICIPAL,2219000,Organismos de Tránsito,VALLE DEL CAUCA,ZARZAL,890399029, juridica@zarzal-valle.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,76895,76895000,False,False,1,False,NULL,False,False,1,1,76,False,False,,
54,INST DE TTO MCPAL CHAPARRAL,CALLE 10 # 8-42 CENTRO (CIS),2460290,Organismos de Tránsito,TOLIMA,CHAPARRAL,800100053,juridica@chaparral-tolima.gov.co),2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,73168,73168000,False,False,1,False,NULL,False,False,1,1,,False,False,,
55,INST DE TTOyTTE DE CAMPOALEGRE HUILA ITTC,CLL 18 # 7-32,8380088,Organismos de Tránsito,HUILA,CAMPOALEGRE,891180140,sgeneral@campoalegre-huila.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,41132,41132000,False,False,1,False,NULL,False,False,1,1,41,False,False,,
56,INST DPTAL DE TTO QUINDIO/CIRCASIA-NOUTILIZAR,KILOMETRO 3 VIA ARMENIA A CIRCACIA,7498764,Organismos de Tránsito,QUINDÍO,CIRCASIA - QUINDIO,890001044,notificacionjudicial@circasia-quindio.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,63190,63190000,False,False,1,False,NULL,False,False,1,1,,False,False,,
57,INST DPTAL TTOyTTE META/RESTREPO,CALLE 8 NO 3 - 31 BARRIO GAITAN,6550070,Organismos de Tránsito,META,RESTREPO - META,822001754,notificacionjudicial@restrepo-meta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,50606,50606000,False,False,1,False,NULL,False,False,1,1,50,False,False,,
58,INST DPTAL TTOyTTE META/GUAMAL,CARRERA 6 TRANSVERSAL 5 ESQUINA,8-6755427,Organismos de Tránsito,META,GUAMAL - META,800098193,notificacionesjudiciales@guamal-meta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,50318,50318000,False,False,1,False,NULL,False,False,1,1,50,False,False,,
59,INST DPTAL TTOyTTE META/PUERTO LOPEZ,CALLE 8 N. 3-31,6550305,Organismos de Tránsito,META,PUERTO LOPEZ - META,822000481, juridica@puertolopez-meta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,50573,50573000,False,False,1,False,NULL,False,False,1,1,50,False,False,,
60,INST DTAL DE TTO CESAR/SAN DIEGO,CALLE 3 9-51,5840310,Organismos de Tránsito,CESAR,SAN DIEGO,800096623,admin@sandiego-cesar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,20750,20750001,False,False,1,False,NULL,False,False,1,1,,False,False,,
61,INST MCPAL TTE Y MOVILIDAD-IMTRAM PTO ASIS,CALLE 10 NO. 30-60,4221049,Organismos de Tránsito,PUTUMAYO,PUERTO ASIS,891200461,contactenos@puertoasis-putumayo.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,86568,86568000,False,False,1,False,NULL,False,False,1,1,,False,False,,
62,INST MCPAL TTO DE ARACATACA - IMTARAC,CALLE 9 # 5 - 18 BARRIO CENTRO,4270727,Organismos de Tránsito,MAGDALENA,ARACATACA,800103920,notificacionjudicial@aracataca-magdalena.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,47053,47053000,False,False,1,False,NULL,False,False,1,1,,False,False,,
63,INST MCPAL TTOyTTE AGUACHICA,CARRERA 15 NO. 2-42,5651445,Organismos de Tránsito,CESAR,AGUACHICA,892399999,notificacionjudicial@aguachica-cesar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,20011,20011000,False,False,1,False,NULL,False,False,1,1,,False,False,,
64,INST MCPAL TTOyTTE EL BANCO,CARRERA 4 NO. 6-20,4291714,Organismos de Tránsito,MAGDALENA,EL BANCO,819000587,oficinajuridica@elbanco-magdalena.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,47245,47245000,False,False,1,False,NULL,False,False,1,1,,False,False,,
65,INST MCPAL TTOyTTE FUNDACION,TRANSVERSAL 8 DIAGONAL 9 NO. 9-75,4131439,Organismos de Tránsito,MAGDALENA,FUNDACION,891780045, ventanillaunica@fundacion-magdalena.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,47288,47288000,False,False,1,False,NULL,False,False,1,1,,False,False,,
66,INST MCPAL TTOyTTE MAICAO,CALLE 10 NO. 9-34 PISO 3 EDIFICIO JERUSALEN,7255524,Organismos de Tránsito,LA GUAJIRA,MAICAO,892115007,notificacionesjudiciales@maicao-laguajira.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,44430,44430000,False,False,1,False,NULL,False,False,1,1,44,False,False,,
67,INST MCPAL TTOYTTE SOLEDAD,AUTOPISTA AREOPUERTO NO. 23-1325,3931108,Organismos de Tránsito,ATLANTICO,SOLEDAD,890106291,ofijuridicanotificaciones@soledad-atlantico.gov.co,2023-09-25 20:21:59.382,2023-09-25 20:21:59.382,NULL,8758,8758000,False,False,1,False,NULL,False,False,1,1,08,False,False,,
68,INST MCPAL TTOyTTE VALLEDUPAR,CARRERA 33 # 20F-06 KM 1 SALIDA A BOSCONIA - MERCABASTOS,5804595,Organismos de Tránsito,CESAR,VALLEDUPAR,892300072,juridica@valledupar-cesar.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,20001,20001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
69,INST MOVyTTE MCPAL DE ARAUQUITA,CR 3 5 53 B.SAN MARTIN,3227707354,Organismos de Tránsito,ARAUCA,ARAUQUITA,892099494,notificacionjudicial@arauquita-arauca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,81065,81065000,False,False,1,False,NULL,False,False,1,1,81,False,False,,
70,INST MOVyTTE MCPAL TAME,CALLE 11 NO. 14 - 59,8882174,Organismos de Tránsito,ARAUCA,TAME,800093257,contactenos@tame-arauca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,81794,81794000,False,False,1,False,NULL,False,False,1,1,81,False,False,,
71,STRIA MCPAL TTOyTTE SABANAGRANDE– ATLÁNTICO,CARRETERA ORIENTAL 100 METROS ANTES PARAJE DE SABANAGRANDE,3713000 EXT 223 - 033-3014307808,Organismos de Tránsito,ATLANTICO,SABANAGRANDE,800115102,contactenos@tame-arauca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,8634,8634000,False,False,1,False,NULL,False,False,1,1,08,False,False,,
72,INST TTOyTTE ARAUCA/ARAUCA,CARRERA 19 NO 17-55. CENTRO,8853157,Organismos de Tránsito,ARAUCA,ARAUCA - ARAUCA,800102504,notificacionjudicial@arauca-arauca.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,81001,81001000,False,False,1,False,NULL,False,False,1,1,81,False,False,,
73,INST TTOyTTE ACACIAS,CALLE 15 NO. 16 - 56 BARRIO EL CENTRO,6564535,Organismos de Tránsito,META,ACACIAS,892001457,notificacionjudicial@acacias.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,50006,50006000,False,False,1,False,NULL,False,False,1,1,50,False,False,,
